company_name,website,location,source_table
"TravelNurseSource",,"US",companies
"BRIGHT FUTURES PSYCHIATRY LLC",,"Colorado, US",companies
"Physician Empire",,"US",companies
"DRW Healthcare Staffing",,"US",companies
"One Behavioral",,"US",companies
"SERV Behavioral Health System",,"US",companies
"Shrub Oak International School",,"US",companies
"Open Health Care Clinic",,"US",companies
"Charlie Health",,"New York City, New York, US",companies
"Orlando Psychiatric Associates INC",,"US",companies
"ALLY Psychiatry Career Page",,"US",companies
"Community Clinic Inc.",,"US",companies
"Blackbird Health",,"US",companies
"Brightside Health",,"New York, US",companies
"Greater Reach Community Services Board",,"Petersburg City, Virginia, US",companies
"Kitwood Health",,"US",companies
"GreenLife Healthcare Staffing",,"New York City, New York, US",companies
"CS Lamora Psychological Associates",,"US",companies
"CommonSpirit Health",,"US",companies
"DNA Comprehensive Therapy Services",,"US",companies
"BlueSky Telepsych",,"US",companies
"The Hire Connection",,"US",companies
"Greater Oregon Behavioral Health",,"US",companies
"ColumbiaCare Services",,"US",companies
"MEDNOW CLINICS INC",,"US",companies
"Headway",,"San Francisco, California, US",companies
"Cordial Health",,"US",companies
"Seasoned Recruitment",,"US",companies
"Centered Mind Counseling Services, PLLC",,"US",companies
"Backus Hospital",,"US",companies
"Optum",,"US",companies
"Turnwell Mental Health Network",,"Dallas, Texas, US",companies
"Smith Arnold Partners",,"US",companies
"INNOVATIVE TREATMENT CENTERS LLC",,"US",companies
"Ascension Recovery Services",,"US",companies
"Alleviant Health Centers",,"Fayetteville, Washington, US",companies
"OASIS OF HOPE THERAPY LLC",,"US",companies
"Roots Through Recovery",,"US",companies
"North Suffolk Community Services Inc",,"US",companies
"Mid-Columbia Center for Living",,"US",companies
"BHHEP",,"US",companies
"Boston Neurobehavioral Associates",,"US",companies
"Commonwealth Medical Services",,"US",companies
"Inpatient Psych Solutions",,"US",companies
"Child & Family Focus, Inc.",,"US",companies
"West River Health Services",,"US",companies
"Legacy Care",,"US",companies
"Mindify Wellness And Care",,"US",companies
"Serenity Mental Health Centers",,"US",companies
"B.E.L. & Associates, Inc.",,"US",companies
"Barton Associates",,"US",companies
"PHA",,"US",companies
"Monte Nido",,"US",companies
"JWCH Institute",,"US",companies
"Central Florida Inpatient Medicine",,"US",companies
"Lake Forest Recruiting Firm",,"US",companies
"CMU Health",,"US",companies
"Supportive Care",,"US",companies
"MatchNP",,"US",companies
"Inspire Counseling Center LLC",,"US",companies
"The Lorenz Clinic",,"US",companies
"Wellpath",,"US",companies
"Parkview Regional Medical Center ",,"US",companies
"BAS Healthcare",,"US",companies
"GO Staffing",,"US",companies
"Integrity Placement Group",,"US",companies
"Granite Hills Hospital",,"US",companies
"Kingston Wellness Retreat",,"US",companies
"Lorenz Clinic",,"US",companies
"Inova Health System",,"US",companies
"UnityPoint Health",,"US",companies
"Connections Health Solutions",,"US",companies
"Array Behavioral Care",,"Maryland, US",companies
"Waterstone Counseling Center LLC",,"US",companies
"MYK PSYCHIATRY LLC",,"US",companies
"Choctaw Global",,"US",companies
"Focus Staff",,"US",companies
"DocCafe",,"US",companies
"Reema Health",,"US",companies
"OVP Health",,"US",companies
"Vivo HealthStaff",,"US",companies
"Enterprise Mangement Solutions Inc",,"US",companies
"Senior PsychCare",,"US",companies
"Insynch Health PLLC",,"US",companies
"CFGC",,"US",companies
"New Directions Northwest Inc",,"US",companies
"Northern California Behavioral Health System",,"US",companies
"Harmony United Psychiatric Care",,"US",companies
"A-Line Staffing Solutions",,"US",companies
"Fast Pace Health",,"Franklin County, Tennessee, US",companies
"University of North Dakota",,"US",companies
"Provider Solutions & Development",,"US",companies
"Thriveworks",,"US",companies
"REAP Healthcare Agents",,"US",companies
"Sanford Health",,"US",companies
"MD Staff, LLC",,"US",companies
"Archway Physician Recruitment",,"US",companies
"Bicycle Health",,"US",companies
"Jobot",,"New York City, New York, US",companies
"Devonear Inc",,"US",companies
"Pacific Companies, Inc.",,"US",companies
"NewYork-Presbyterian Hospital",,"Brooklyn, New York, US",companies
"Hayman Daugherty Associates, Inc",,"US",companies
"Community Healthcare Alliance Pllc",,"US",companies
"Community Healthcare Network Inc",,"US",companies
"Ascension Health",,"US",companies
"Britt Medical Search",,"US",companies
"Equitas Health, Inc.",,"US",companies
"Christus Health",,"US",companies
"Hackensack Meridian Health",,"US",companies
"Medsource Consultants",,"US",companies
"Amae Health",,"US",companies
"Applewood Centers",,"US",companies
"MD Anderson Cancer Center",,"US",companies
"Medlead Careers",,"New York City, New York, US",companies
"Placements USA LLC",,"New York City, New York, US",companies
"Hope Family Health",,"US",companies
"RWJBarnabas Health",,"US",companies
"Barnabas Health Medical Group",,"US",companies
"iRecruitmd",,"US",companies
"Transformation House",,"US",companies
"Summit-medical-consultants-llc",,"US",companies
"Symphony Medical",,"US",companies
"TeamHealth",,"US",companies
"SkyBridge Healthcare",,"US",companies
"WellPsyche",,"US",companies
"Southern Health Partners",,"US",companies
"Callen-Lorde Community Health Center",,"New York City, New York, US",companies
"Advanced Recovery Systems, LLC",,"US",companies
"CareMed",,"US",companies
"LifeSource, Inc.",,"US",companies
"Mass General Brigham",,"US",companies
"Lifestream Health Center",,"US",companies
"CCF GROUP LLC",,"Bethany, Oklahoma, US",companies
"Veterans Health Administration",,"US",companies
"ViaQuest",,"US",companies
"New Alternatives for Children, Inc.",,"US",companies
"Cooperative Counseling",,"US",companies
"Caring Health Center Inc",,"US",companies
"Freedom Behavioral Hospital of Lake Charles, LLC",,"US",companies
"Newliving Healthcare",,"Washington, US",companies
"Mar Y Sol Mental health experts",,"US",companies
"VHS Recruitment",,"US",companies
"The Southeastern Council On Alcoholism And Drug Dependence, Inc.",,"US",companies
"Spero",,"US",companies
"Eskenazi Medical Group",,"US",companies
"Monadnock Family Services",,"US",companies
"Wyandot Behavioral Health Network",,"Kansas, US",companies
"ERC Pathlight",,"US",companies
"VitalCore Health Strategies",,"US",companies
"TTF",,"US",companies
"Aroostook Mental Health Services, Inc.",,"US",companies
"Collabratory Ventures LLC",,"US",companies
"The Mohegan Tribe Of Indians Of Connecticut",,"US",companies
"OptiMindHealth",,"Colorado, US",companies
"CoreLife",,"US",companies
"Youth Opportunity Investments, LLC",,"US",companies
